filename,grade_match,referable_match,max_prob_delta,mean_prob_delta,B_grade,D_grade,B_ref,D_ref
005b95c28852.png,True,True,0.03984710418507009,0.01593884726705672,0,0,False,False
0124dffecf29.png,True,True,0.12246783250952975,0.04898714324836026,0,0,False,False
0182152c50de.png,True,True,0.00012307862879690212,4.926294459178984e-05,0,0,False,False
01b3aed3ed4c.png,False,True,0.1913914521584389,0.07731203248026793,1,2,False,False
0231642cf1c2.png,True,True,0.0001385668797360129,6.0080369023973536e-05,0,0,False,False
0232dfea7547.png,True,True,0.00014067614198343126,5.627466884523432e-05,0,0,False,False
032d7b0b4bf6.png,True,True,0.00510929715529207,0.0021488193143247036,2,2,True,True
034cb07a550f.png,True,True,0.1881066269786137,0.07811803972759467,2,2,True,True
0423237770a7.png,True,True,1.403623873519333e-05,5.600158219607479e-06,0,0,False,False
04579e31e4be.png,True,True,2.2635916733874917e-06,9.666632887865313e-07,0,0,False,False
04ac765f91a1.png,True,True,0.11836842359392036,0.04734737027575845,1,1,False,False
05a5183c92d0.png,False,True,0.2872856124680167,0.11491423660530353,1,2,False,False
05cd0178ccfe.png,True,True,0.07522733021660322,0.038047918567072965,3,3,True,True
06be1092a062.png,True,True,0.002620900631008949,0.0010483337218974223,0,0,False,False
0790515cf5af.png,True,True,3.08310508354559e-05,1.2340466815709977e-05,0,0,False,False
07929d32b5b3.png,True,True,0.034105315724024754,0.013713255124916567,1,1,False,False
086d41d17da8.png,True,True,0.1375450501099788,0.059558926848478536,1,1,False,False
09237bf783a4.png,True,True,1.506402156303821e-05,6.037582395845635e-06,0,0,False,False
093a42649c29.png,True,True,0.11480055320150362,0.05286115340973667,2,2,True,True
09f6ab477654.png,True,True,0.0764168885262353,0.030566757657309856,2,2,True,True
0a74c92e287c.png,True,True,0.014494841398733471,0.005797941539158726,0,0,False,False
0d9a9896f801.png,True,True,9.643546747772902e-05,3.8556865300682284e-05,0,0,False,False
0da09e3ce8f1.png,True,True,0.014682180621881424,0.00587286780168727,2,2,True,True
0db1d8dcf219.png,True,True,0.014951404505936017,0.0059805383548733795,0,0,False,False
0dbaa09a458c.png,True,True,0.02193144757989697,0.011311604028378325,2,2,True,True
0dc031c94225.png,True,True,0.07277248252396351,0.02910896754955451,1,1,False,False
0e43c8298fc0.png,True,True,0.006071357946293099,0.002428546621500409,0,0,False,False
0eb52045349f.png,True,True,0.10973407910423882,0.044128113601296634,1,1,False,False
0ef4c61dc056.png,True,True,2.8339825432155408e-05,1.1330781705281448e-05,0,0,False,False
0fb1053285cf.png,True,True,0.13491403147702785,0.0546423426453088,1,1,False,False
0fcfc6301f3d.png,True,True,0.1793833379566806,0.0962380501287363,2,2,True,True
0fe31196e0e8.png,True,True,1.3611342317698671e-05,5.4368663397373155e-06,0,0,False,False
1006345f70b7.png,True,True,0.015908214935239418,0.007674464000436923,2,2,True,True
101b9ebfc720.png,True,True,0.15082009387397688,0.06032805622260834,1,1,False,False
10eefba568dd.png,True,True,0.18164619116939984,0.0743195849693267,2,2,True,True
10f6ef37fe43.png,True,True,6.088618552702041e-05,2.437122710321423e-05,0,0,False,False
1269ab57c2e6.png,True,True,0.06059584292595899,0.024238336807313292,1,1,False,False
13063d1bc4ea.png,True,True,0.0308214039112501,0.012777063635302371,4,4,True,True
13073f075a56.png,True,True,3.246684997049165e-05,1.2948053903440526e-05,0,0,False,False
13c191b59ed0.png,True,True,0.005502098798430111,0.002200859370685521,0,0,False,False
1411c8ab7161.png,True,True,0.06163171118356864,0.026184084874174778,2,2,True,True
144a1a426137.png,True,True,0.027426739974762193,0.010970694127259704,0,0,False,False
14e3f84445f7.png,True,True,0.13479611311528317,0.0539184630722094,4,4,True,True
150fc7127582.png,True,True,4.910172718641803e-06,1.9637374856695654e-06,0,0,False,False
